"category","airbnb-link","rule","description","fixable","recommended","airbnb-level","airbnb-value"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/global-require"", ""global-require"")","require `require()` calls to be placed at top-level module scope","","Off 🙈","Error ⛔","error"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/handle-callback-err"", ""handle-callback-err"")","require error handling in callbacks","","Off 🙈","Off 🙈","off"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/no-buffer-constructor"", ""no-buffer-constructor"")","disallow use of the `Buffer()` constructor","","Off 🙈","Error ⛔","error"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/no-mixed-requires"", ""no-mixed-requires"")","disallow `require` calls to be mixed with regular variable declarations","","Off 🙈","Off 🙈","[""off"",false]"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/no-new-require"", ""no-new-require"")","disallow `new` operators with calls to `require`","","Off 🙈","Error ⛔","error"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/no-path-concat"", ""no-path-concat"")","disallow string concatenation with `__dirname` and `__filename`","","Off 🙈","Error ⛔","error"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/no-process-env"", ""no-process-env"")","disallow the use of `process.env`","","Off 🙈","Off 🙈","off"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/no-process-exit"", ""no-process-exit"")","disallow the use of `process.exit()`","","Off 🙈","Off 🙈","off"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/no-restricted-modules"", ""no-restricted-modules"")","disallow specified modules when loaded by `require`","","Off 🙈","Off 🙈","off"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/no-sync"", ""no-sync"")","disallow synchronous methods","","Off 🙈","Off 🙈","off"
"Style",,"=HYPERLINK(""https://eslint.org/docs/rules/array-bracket-newline"", ""array-bracket-newline"")","enforce linebreaks after opening and before closing array brackets","🔧","Off 🙈","Off 🙈","[""off"",""consistent""]"
"Style",,"=HYPERLINK(""https://eslint.org/docs/rules/array-element-newline"", ""array-element-newline"")","enforce line breaks after each array element","🔧","Off 🙈","Off 🙈","[""off"",{""multiline"":true,""minItems"":3}]"
"Style","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#whitespace--in-brackets"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/array-bracket-spacing"", ""array-bracket-spacing"")","enforce consistent spacing inside array brackets","🔧","Off 🙈","Error ⛔","[""error"",""never""]"
